dataset,domain,llm_label,human_label,llm_human_agree,status,num_source_candidates,human_idx,source_idxs,sentence,prd_word,prd_idx,label,span_mean,source_spans_inclusive,human_selected_spans,span_matched,grammar_status,optional,type,human_file,source_file
bn_gold_llmj_invalid,bn,0,1,0,matched,1,11,[2059],"California 's utility companies are not able to generate all the power their customers need , so they have turned to outside suppliers and in the face of rising prices the state 's two largest utility firms have sunk more than eight billion dollars in debt .",sunk,39,ARG1,thing sinking,"[(30, 36)]","[(30, 36)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,12,[1581],Correspondent Ned Colt has our report .,report,6,ARG0,Reporter,"[(4, 4)]","[(0, 2), (1, 2)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,13,[39],Front man Amidu Barry may look like he got his moves on the streets of Brooklyn but his critique of post-colonial finger pointing in Africa tells a different story .,moves,11,ARG0,mover,"[(9, 9)]","[(2, 3), (7, 7)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,14,[38],Front man Amidu Barry may look like he got his moves on the streets of Brooklyn but his critique of post-colonial finger pointing in Africa tells a different story .,got,9,ARG2,giver,"[(11, 15)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,15,[2429],He 's suggested Milosevic and others stand trial in a Yugoslav court .,stand,7,ARG2,attribute,"[(7, 7)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,16,[1641],He asked us to call you to let you know he 's okay .,call,5,ARG1,utterance,"[(5, 5)]","[(6, 12), (7, 12)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,17,[4472],"He had survived , if you will , a death sentence , and now in that new freedom of the life in front of him , he takes to the road in the tradition of old Chinese poets and records what he sees , what he hears , the stories that he is told .",takes,28,ARG2,"taken FROM, SOURCE of thing taken","[(28, 30)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,18,[969],"He is not as easy to make fun of yet Yubitritch says , unlike Milosevic , but that does n't mean he will escape the scrutiny and sharp wits of Index Theater .",mean,21,ARG0,agent,"[(17, 17)]","[(0, 14), (17, 17)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,19,[963],"He is not as easy to make fun of yet Yubitritch says , unlike Milosevic , but that does n't mean he will escape the scrutiny and sharp wits of Index Theater .",make,7,ARG1,creation,"[(7, 7)]","[(7, 7)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,20,[964],"He is not as easy to make fun of yet Yubitritch says , unlike Milosevic , but that does n't mean he will escape the scrutiny and sharp wits of Index Theater .",make,7,ARG2,"created-from, thing changed","[(8, 8)]","[(0, 0), (10, 10)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,21,[4387],"He sat out 1 term after losing a U.S Senate race in the 1960s , but for 24 terms , Yates represented Chicago 's northern lake front and northern suburbs .",sat,2,ARG1,,"[(0, 0)]","[(3, 4)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,22,[4389],"He sat out 1 term after losing a U.S Senate race in the 1960s , but for 24 terms , Yates represented Chicago 's northern lake front and northern suburbs .",sat,2,ARG2,,"[(3, 4)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,23,[3272],"He told lawmakers it would not trigger a U.S. retreat from the Persian Gulf , even though troops remain at risk to terrorism .",retreat,10,ARG1,"retreater, entity actually moving back","[(10, 13)]","[(8, 8)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,24,[4281],He used his rising popularity amongst the Serb people to oust former mentor Ivan Stambolic and take over as President of the Serbian republic .,take,17,ARG1,,"[(18, 23)]","[(18, 23), (19, 23)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,25,[1118],How could comedy come out of chemotherapy treatments ?,come,4,ARG2,,"[(4, 7)]","[(4, 7), (5, 7), (6, 7)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,26,[1257],"I 'm just as delighted now , nine years later , to be able to welcome you here and to learn about the great changes which have occurred in your country since I was there .",learn,21,ARG1,subject,"[(21, 34)]","[(21, 24), (21, 30)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,27,[1589],"I hate these people that go , we 've been married for 56 years and never had a bad word .",go,6,ARG0,Sayer,"[(2, 3)]","[(2, 3)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,28,[378],"I think there are a number of other measures that indicate how well somebody 's doing running a company , and I think corporation boards need to spend more time on that dimension .",indicate,11,ARG0,indicator,"[(6, 8)]","[(4, 8), (7, 8)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,29,[398],"I think there are a number of other measures that indicate how well somebody 's doing running a company , and I think corporation boards need to spend more time on that dimension .",spend,28,ARG2,activity,"[(30, 32)]","[(30, 32)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,30,[1695],"I want everybody who tried to vote who legally voted to have their vote count , including service people .",have,12,ARG0,causer,"[(2, 9)]","[(2, 2), (2, 9)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,31,[1697],"I want everybody who tried to vote who legally voted to have their vote count , including service people .",have,12,ARG1,action,"[(12, 14)]","[(12, 14)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,32,[2526],"I was n't in a position that my dear friend was in when he was killed outside Bagdad airport but I had long thought and I was in Iraq in the previous war that really all the talk that had been about the rush to war , the push for war , the drive for war , all that propaganda , was essentially nonsensical because in 1990 , Saddam Hussein made the only self criticism .",talk,38,ARG1,subject,"[(41, 55)]","[(41, 55)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,33,[3532],"ISRAELI radio said four Palestinians were killed , but Palestinian security officials deny there were any casualties and they say no such incident took place .",took,24,ARG2,,"[(24, 24)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,34,[2218],"In another interview Palestinian leader Yasser Arafat said the Israelis and Palestinians had made real progress Red Sea resort of Taba , but Prime Minister Ehud Barak has suspended contacts with the Palestinians until after the February 6th election .",progress,16,ARG1,thing moving,"[(8, 11)]","[(8, 11)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,35,[932],Interestingly enough she is quoted as telling General Sanholi back to the US that she did not really get too much of a reception from Bashar Al - Assad in terms of lightening the traditionally antagonistic Syrian align towards Israel .,quoted,5,ARG1,the quote itself,"[(2, 2)]","[(13, 39), (14, 39)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,36,[934],Interestingly enough she is quoted as telling General Sanholi back to the US that she did not really get too much of a reception from Bashar Al - Assad in terms of lightening the traditionally antagonistic Syrian align towards Israel .,quoted,5,ARG2,original speaker,"[(5, 39)]","[(2, 2)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,37,[4170],It also got past the puppies ' protective father .,got,3,ARG2,destination,"[(3, 8)]","[(3, 8)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,38,[1789],It how quickly they get handed .,get,5,ARG1,thing,"[(3, 3)]","[(3, 3)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,39,[433],"James Drummond , covering the Arab summit in Cairo for the Financial Times .",covering,4,ARG0,"news organization, media","[(0, 1)]","[(10, 12)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,40,[3774],"Kids are spending $ 50 to $ 70 , you know , a pop on these games .",spending,3,ARG3,"price paid, money","[(3, 13)]","[(3, 7)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,41,[820],Let me take a the .,Let,1,ARG1,action allowed,"[(1, 4)]",[],False,有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,42,[823],Let me take a the .,take,3,ARG1,thing taken,"[(3, 4)]","[(3, 4)]",True,有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,43,[581],Milosevic headed Yugoslavia 's state - run gas company and was President of a major Belgrade bank climbing the political ladder as a Communist technocrat .,run,7,ARG1,"machine, operation, procedure","[(7, 8)]","[(7, 8)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,44,[463],"Moving ahead now to a developing story , the hunt for so - called smoking gun , meant to prove that Iraq was developing weapons of mass destruction .",smoking,15,ARG1,substance smoking,"[(15, 15)]","[(15, 15)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,45,[465],"Moving ahead now to a developing story , the hunt for so - called smoking gun , meant to prove that Iraq was developing weapons of mass destruction .",meant,18,ARG0,agent,"[(8, 15)]","[(8, 15)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,46,[4120],Mr. Arafat made no comment after Tuesday 's first round of White House talks moving quickly past journalists to a waiting limousine .,talks,14,ARG0,talker,"[(11, 12)]","[(0, 1), (11, 12)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,47,[4173],Much more coverage of the new Iraq and --,coverage,3,ARG1,,"[(3, 7)]","[(3, 7)]",True,有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,48,[159],"Palestinian sources say he had tried to flee into Syria , but was turned away at the border .",flee,8,ARG1,,"[(8, 9)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,49,[1888],Palestinians now talking about a battle for independence .,talking,3,ARG1,subject,"[(3, 7)]","[(3, 7), (4, 7)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,50,[1890],Palestinians now talking about a battle for independence .,battle,6,ARG2,spoils,"[(6, 7)]","[(6, 7), (7, 7)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,51,[370],"Positive Black Soul are now the oldsters of Dakar 's hip - hop scene and they have established the template of social consciousness that many Senegalese hip - hop groups follow like Bootin Bye , which recently scored this hit about AIDS prevention .",scored,38,ARG0,"grader, judge, entity awarding the points","[(32, 33)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,52,[3160],Quite an emotional experience and one of us can only imagine what it must have been like to endure .,experience,4,ARG1,experienced,"[(2, 2)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,53,[3622],"Reporter Lee , flying in from California , unsure if his wife was alive , today , identifying his remains , and tonight survivor John Diaz begins the long trip home to California .",trip,30,ARG1,thing tripped (circuit breaker),"[(30, 32)]","[(23, 25), (24, 25)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,54,[511],"Russia has very little influence with Pakistan , but of course Russia supplies India with 70 % of its military hardware and that was of course the second pillar here of Mr. Putin 's visit , which was to finalize some very substantial arms deals .",has,2,ARG1,action,"[(2, 6)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,55,[1333],"Russian President was supposed to visit India as early as 97 - 1998 , but of course Boris Yeltsin 's health problems got in the way of that , and then of course , Mr. Yeltsin 's abrupt resignation last year another visit and then the subsequent election campaign and inauguration of Vladimir Putin took some time , so it 's been put off for a couple of years .",put,63,ARG2,,"[(64, 68)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,56,[3551],Saddam Hussein addressed the nation in a speech filled with rhetoric and a declaration of victory .,addressed,3,ARG1,"item being addressed (letter, speech, etc)","[(5, 15)]","[(5, 15)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,57,[3363],She and her daughter Jordan often shuffle through these pictures of him taken before he left .,shuffle,7,ARG1,entity in motion,"[(7, 15)]","[(8, 9), (8, 15)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,58,[3496],"She has no idea where her husband is now , but thanks to a little help from a Delta flight attendant , she knew he got where he was going .",going,30,ARG1,journey,"[(27, 27)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,59,[3314],"She is charged with using insider information to bail out of a biotech stock the day before its price tanked , and then trying to cover it up .",bail,9,ARG1,,"[(10, 13)]","[(10, 13), (11, 13)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,60,[4295],She simply flew over .,flew,3,ARG1,"passenger, cargo","[(0, 0)]","[(0, 0)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,61,[3081],"So before they say it is a white man tangle you know it 's because of a white man that this happens and they got to , you know , check around and they say who is the real guilty .",got,25,ARG1,Complement,"[(25, 31)]","[(30, 31)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,62,[3511],"Sony 's long - awaited release of its latest video game console is guaranteed to pump up the volume on video game sales , already a $ 7 billion business .",sales,23,ARG1,,"[(21, 21)]","[(20, 21)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,63,[3825],"Soon after , one of the family 's three chickens flew the coop and took up residence in the crate built especially for the puppies .",residence,17,ARG1,,"[(17, 24)]","[(17, 24)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,64,[547],Sources close to the investigation tell NBC News that Singapore Airlines flight 6 tried to take off on a runway closed for repairs .,take,16,ARG1,,"[(9, 12)]","[(9, 12)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,65,[549],Sources close to the investigation tell NBC News that Singapore Airlines flight 6 tried to take off on a runway closed for repairs .,take,16,ARG2,,"[(17, 22)]","[(17, 22)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,66,[1274],"Sovereignty is not simply a quality of statehood , but it has to do with the power of the people and democratic structures which make sovereignty an important human value .",do,14,ARG0,,"[(10, 10)]","[(0, 0), (10, 10)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,67,[1276],"Sovereignty is not simply a quality of statehood , but it has to do with the power of the people and democratic structures which make sovereignty an important human value .",do,14,ARG1,,"[(14, 29)]","[(15, 22), (15, 29)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,68,[10],"Speaking of chicks -- call it puppy love , call it maternal instinct , but , mostly it 's just out of the ordinary .",Speaking,1,ARG1,subject,"[(1, 2)]","[(2, 2)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,69,[2298],"The Bush team , responding quickly saying there would not be such support and that in that scenario Gore could only be seen as a sore loser .",seen,23,ARG1,thing viewed,"[(23, 26)]","[(18, 18)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,70,[2491],"The blast , which occurred just after noon local time in Yemen , ripped a 20 x 40 foot gash in the USS Cole , a state - of - the - art destroyer that had stopped in Aden to refuel before joining the carrier George Washington in the Persian Gulf .",stopped,37,ARG1,Theme (action or object being stopped),"[(34, 34)]","[(21, 23), (25, 33)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,71,[3197],"The book is filled with marvelous descriptions of the gorges through which he walks , the mountains that he climbs , indeed the book is called Soul Mountain , the mountain on which he hopes in some way or another to get in touch with his soul , his individual soul , as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities , the social realism that the cadres would have him write in .",get,42,ARG1,thing,"[(33, 33)]","[(45, 46), (45, 50)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,72,[569],The congressman was known as a fervent liberal and supporter of the arts and he was noted for his success in getting congress to finance for national endowment for the art .,finance,25,ARG1,thing financed,"[(25, 30)]","[(25, 30), (26, 30)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,73,[3594],The government also filed civil charges against her .,charges,6,ARG1,"battery, usually","[(4, 4)]","[(7, 7)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,74,[3596],The government also filed civil charges against her .,charges,6,ARG2,instrument (defaults to electricity),"[(6, 7)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,75,[67],"The knowledge that our lights are the first to light it up , our footprints were the first , our eyes were first to see it .",light,10,ARG0,,"[(6, 7)]","[(3, 4)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,76,[70],"The knowledge that our lights are the first to light it up , our footprints were the first , our eyes were first to see it .",see,25,ARG0,viewer,"[(22, 22)]","[(19, 20)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
