0 	 Yes she did . 	 did 	 3 	 Yes 	 ARGM-DIS 	 [0, 1] 	 redundant 	 yes 	 What did she do? 	 None
197 	 you know even after you left I said , I just hope Arlita knows that you know I tried my best you know 	 know 	 17 	 Arlita 	 ARG0 	 [12, 13] 	 redundant 	 yes 	 Who knows that I tried my best? 	 None
202 	 And , %uh , what happened was after I had turned in my thesis but before I saw Neil again , he went to a conference in Rochester and there this was a big issue among the people who were doing this work , was , that their models could n't show this as a driven frequency , 	 was 	 32 	 a big issue among the people who were doing this work 	 ARG1 	 [32, 43] 	 redundant 	 yes 	 What was a big issue among the people who were doing this work? 	 None
206 	 I mean , you know , writing a couple of articles based on your Master 's thesis , is , not at all unusual in Physics 	 know 	 5 	 I 	 ARG0 	 [0, 1] 	 redundant 	 yes 	 Who knows that writing a couple of articles based on your Master's thesis, is, not at all unusual in Physics? 	 None
228 	 and is she seem like she 's together enough ? 	 is 	 2 	 like she 's together enough 	 C-ARG1 	 [4, 9] 	 redundant 	 yes 	 How does she seem? 	 None
229 	 okay that 's a great idea . 	 's 	 3 	 okay 	 ARGM-ADV 	 [0, 1] 	 redundant 	 yes 	 What is a great idea? 	 None
236 	 apparently like at Lisa Manachi 's wedding like the whole night people were talking about how bad the black dresses were . 	 talking 	 14 	 like the whole night 	 ARGM-MNR 	 [7, 11] 	 redundant 	 yes 	 When were people talking about how bad the black dresses were? 	 None
246 	 %um and I 'll sit and talk with Anya about some things that maybe we think that it would be neat for you to see . 	 sit 	 5 	 I 	 ARG1 	 [2, 3] 	 redundant 	 yes 	 Who will sit and talk with Anya about some things? 	 None
282 	 If you want to go %uh off into the countryside somewhere and see a little bit of , echte Holland , real Holland and we can do that too . 	 go 	 5 	 into the countryside somewhere 	 ARG4 	 [7, 11] 	 redundant 	 yes 	 Where would you want to go? 	 None
296 	 but it 's like three times the money as with everything else 	 's 	 3 	 as with everything else 	 ARGM-PRD 	 [8, 12] 	 redundant 	 yes 	 What is it like three times the money as? 	 None
306 	 I said mom it is when you believe in Allah , when you have faith and know when you truly give your heart to Allah , only Allah can make the way clear for you . 	 know 	 17 	 when you truly give your heart to Allah 	 ARGM-TMP 	 [17, 25] 	 redundant 	 yes 	 When do you know that only Allah can make the way clear for you? 	 None
307 	 I think Optics Letters is probably the one that we 're shooting for , or else , perhaps , though I do n't think it 's quite that significant , would be Phys Rev Letters . 	 shooting 	 12 	 that 	 R-ARG1 	 [8, 9] 	 redundant 	 yes 	 What are they shooting for? 	 None
318 	 %um , and it got back to about eighty percent . 	 got 	 5 	 to about eighty percent 	 ARG4 	 [6, 10] 	 redundant 	 yes 	 What did it get back to? 	 None
335 	 Which was actually where the major problem came . Exactly . Exactly . yeah . Is that I suddenly had no transportation . 	 Is 	 16 	 where the major problem came 	 ARG2 	 [3, 8] 	 redundant 	 yes 	 What is the major problem? 	 None
341 	 and remember that if you dial in Holland you need to add a zero 	 dial 	 6 	 Holland 	 ARG1 	 [7, 8] 	 redundant 	 yes 	 Where do you dial? 	 None
351 	 Do they do that to everyone ? 	 Do 	 1 	 to everyone 	 ARG2 	 [4, 6] 	 redundant 	 yes 	 To whom do they do that? 	 None
364 	 And so %uh , that 's yeah at least dealt with . 	 's 	 6 	 so 	 ARGM-ADV 	 [1, 2] 	 redundant 	 yes 	 What is yeah at least dealt with? 	 None
369 	 I learned quick fast in a hurry because I 've gained so much weight . 	 learned 	 2 	 in a hurry 	 ARGM-ADV 	 [4, 7] 	 redundant 	 yes 	 How did I learn quick fast? 	 None
377 	 And so %uh , that 's yeah at least dealt with . 	 dealt 	 10 	 that 	 ARG1 	 [4, 5] 	 redundant 	 yes 	 What is dealt with? 	 None
386 	 I mean most women you lose your baby that 's it . 	 mean 	 2 	 most women you lose your baby 	 ARG1 	 [2, 8] 	 redundant 	 yes 	 According to the speaker, who loses their baby and that's it? 	 None
391 	 So Cool . Cool . that 's mostly the sort of stuff that I 'm spending a lot of time on now . %um 	 spending 	 16 	 that 	 R-ARG2 	 [12, 13] 	 redundant 	 yes 	 What is the speaker spending a lot of time on now? 	 None
393 	 so that 's why it 's actually a big deal is 	 is 	 11 	 a big deal 	 ARG2 	 [7, 10] 	 redundant 	 yes 	 What is it actually? 	 None
396 	 Spending a lot of time hunting for bikes , and nah well . then getting one purchased , and then having to , you know , go get it and things like that . 	 go 	 27 	 get it and things like that 	 ARG1 	 [27, 33] 	 redundant 	 yes 	 What does someone have to go do after getting one purchased? 	 None
398 	 I think Optics Letters is probably the one that we 're shooting for , or else , perhaps , though I do n't think it 's quite that significant , would be Phys Rev Letters . 	 shooting 	 12 	 the one 	 ARG2 	 [6, 8] 	 redundant 	 yes 	 What are we shooting for? 	 None
400 	 so I decided that it would make sense to do this . 	 do 	 10 	 I 	 ARG0 	 [1, 2] 	 redundant 	 yes 	 Who decided that it would make sense to do this? 	 None
405 	 There 's a pretty good sale . %mm . So now we have to keep our eyes open for a champagne sale . 	 have 	 13 	 now 	 ARGM-TMP 	 [10, 11] 	 redundant 	 yes 	 When do we have to keep our eyes open for a champagne sale? 	 None
408 	 I just would n't go . 	 go 	 5 	 I 	 ARG0 	 [0, 1] 	 redundant 	 yes 	 Who just wouldn't go? 	 None
425 	 where is , you know 	 is 	 2 	 where 	 ARG2 	 [0, 1] 	 redundant 	 yes 	 Where is, you know? 	 None
439 	 You know that has always been very scary to me even after . 	 been 	 6 	 to me 	 ARGM-ADV 	 [8, 10] 	 redundant 	 yes 	 Who has that always been very scary to? 	 None
446 	 they consider it a luxury to call around the world 	 call 	 7 	 the world 	 ARG1 	 [8, 10] 	 redundant 	 yes 	 Where do they consider it a luxury to call around? 	 None
462 	 %um and I 'll sit and talk with Anya about some things that maybe we think that it would be neat for you to see . 	 think 	 16 	 some things 	 ARG1 	 [10, 12] 	 redundant 	 yes 	 What do we think? 	 None
469 	 so if we get in the eighteenth or the nineteenth and then call you back %um when we get to a hotel or something like that . 	 call 	 13 	 if we get in the eighteenth or the nineteenth 	 ARGM-ADV 	 [1, 10] 	 redundant 	 yes 	 When will we call you back? 	 None
474 	 %um , but Leo and Julie just seemed , %um sort of happy with the decisions they 've made . 	 seemed 	 8 	 %um sort of happy with the decisions they 've made 	 C-ARG1 	 [9, 19] 	 redundant 	 yes 	 How did Leo and Julie seem? 	 None
482 	 I think I had mentioned before %uh , that there 's a company now that I 'm working with %um , %uh , which is very much just myself and Guss . 	 working 	 18 	 a company 	 ARG1 	 [11, 13] 	 redundant 	 yes 	 With whom am I working? 	 None
500 	 I 'm really looking forward to moving to Oregon and dealing with , 	 moving 	 7 	 I 	 ARG1 	 [0, 1] 	 redundant 	 yes 	 Who is really looking forward to moving to Oregon? 	 None
509 	 Some amount that has to be deducted a certain amount 	 deducted 	 7 	 a certain amount 	 ARGM-EXT 	 [7, 10] 	 redundant 	 yes 	 What has to be deducted? 	 None
512 	 There 's a pretty good sale . %mm . So now we have to keep our eyes open for a champagne sale . 	 keep 	 15 	 for a champagne sale 	 ARGM-PRP 	 [18, 22] 	 redundant 	 yes 	 What do we have to keep our eyes open for? 	 None
514 	 And , %uh %huh the most worthwhile thing as far as monetary value went that they stole was the pre-amplifier of my stereo . Unfortunately , because it 's a nice pre-amplifier , 	 went 	 14 	 that they stole 	 ARGM-ADJ 	 [14, 17] 	 redundant 	 yes 	 What went as far as monetary value was the pre-amplifier of the stereo? 	 None
523 	 %um and I 'll sit and talk with Anya about some things that maybe we think that it would be neat for you to see . 	 talk 	 7 	 I 	 ARG0 	 [2, 3] 	 redundant 	 yes 	 Who will sit and talk with Anya? 	 None
525 	 I said mom it is when you believe in Allah , when you have faith and know when you truly give your heart to Allah , only Allah can make the way clear for you . 	 said 	 2 	 mom 	 ARG2 	 [2, 3] 	 redundant 	 yes 	 Who did I say it to? 	 None
527 	 And , %uh , what happened was after I had turned in my thesis but before I saw Neil again , he went to a conference in Rochester and there this was a big issue among the people who were doing this work , was , that their models could n't show this as a driven frequency , 	 was 	 32 	 there 	 ARGM-LOC 	 [29, 30] 	 redundant 	 yes 	 Where was a big issue among the people who were doing this work? 	 None
543 	 This girl has everything in her dreams you know . 	 know 	 9 	 everything 	 ARG1 	 [3, 4] 	 redundant 	 yes 	 What does the girl have in her dreams according to the statement? 	 None
549 	 And so , I then had to go bike hunting and eventually get another bike , 	 had 	 6 	 then 	 ARGM-TMP 	 [4, 5] 	 redundant 	 yes 	 When did I have to go bike hunting? 	 None
557 	 But we got to see Den Haag and places like that too which we 're obviously not going to see this time . 	 going 	 18 	 not 	 ARGM-NEG 	 [16, 17] 	 redundant 	 yes 	 How are we going to see Den Haag and places like that this time? 	 None
561 	 Which one is he with . 	 is 	 3 	 Which one 	 ARG2 	 [0, 2] 	 redundant 	 yes 	 Which one is he with? 	 None
563 	 %uh lay there let me look at my grandmother kind of thing 	 lay 	 2 	 %uh 	 ARG1 	 [0, 1] 	 redundant 	 yes 	 Who lay there? 	 None
573 	 So you have no intentions of coming over this way any time soon ? 	 coming 	 7 	 you 	 ARG1 	 [1, 2] 	 redundant 	 yes 	 Who has no intentions of coming over this way any time soon? 	 None
583 	 you know even after you left I said , I just hope Arlita knows that you know I tried my best you know 	 hope 	 12 	 even after you left I said 	 ARGM-TMP 	 [2, 8] 	 redundant 	 yes 	 What do you hope? 	 None
587 	 Well I 'm figuring it out fast because -- okay -- with not working out and all yeah . it 's pretty miserable my crunch tape . 	 's 	 21 	 my crunch tape 	 ARG1 	 [23, 26] 	 redundant 	 yes 	 What is pretty miserable? 	 None
594 	 Told her that she could n't talk to Jasmine play with Jasmine because she said she hurt Jasmine 's Jetta you know 	 talk 	 7 	 play with Jasmine 	 ARG1 	 [9, 12] 	 redundant 	 yes 	 What couldn't she do to Jasmine? 	 None
597 	 I mean of course I did n't say anything to her . 	 mean 	 2 	 I did n't say anything to her 	 ARG1 	 [4, 11] 	 redundant 	 yes 	 What did you mean? 	 None
614 	 So now you think my wedding 's going to be pretty tasteful right ? 	 be 	 10 	 right 	 ARGM-ADV 	 [12, 13] 	 redundant 	 yes 	 How does the speaker think the wedding is going to be? 	 None
626 	 I found a gym yesterday here that 's only eight pounds a month which is like twelve dollars , twelve fifty 	 's 	 8 	 here 	 ARGM-LOC 	 [5, 6] 	 redundant 	 yes 	 Where is the gym that is only eight pounds a month? 	 None
636 	 And she went from Penn , %um To Columbia . to Columbia to U R I . 	 went 	 3 	 To Columbia 	 ARG4 	 [7, 9] 	 redundant 	 yes 	 Where did she go from Penn? 	 None
637 	 this place is incredibly easy to break into if you want to . 	 break 	 7 	 this place 	 ARG1 	 [0, 2] 	 redundant 	 yes 	 What is incredibly easy to break into? 	 None
642 	 and I 've said that yeah I will give a urine sample or a blood sample if they call me back for those , but they 're going to have to pay my trip back to the states . because there 's no bases in Holland and I 'm not going to pay out of my own expenses to go to Germany or something for them . 	 going 	 51 	 not 	 ARGM-NEG 	 [49, 50] 	 redundant 	 yes 	 Who is not going to pay out of their own expenses to go to Germany or something for them? 	 None
651 	 And maybe I 'll come by , public transport . 	 come 	 5 	 public transport 	 ARGM-ADV 	 [7, 9] 	 redundant 	 yes 	 How will I come by? 	 None
655 	 and I 've said that yeah I will give a urine sample or a blood sample if they call me back for those , but they 're going to have to pay my trip back to the states . because there 's no bases in Holland and I 'm not going to pay out of my own expenses to go to Germany or something for them . 	 pay 	 53 	 to go to Germany or something for them 	 ARG3 	 [58, 66] 	 redundant 	 yes 	 What is the speaker not going to pay out of their own expenses for? 	 None
656 	 Yes she did . 	 did 	 3 	 Yes 	 ARGM-DIS 	 [0, 1] 	 redundant 	 yes 	 What did she do? 	 None
667 	 I said to Mark oh my god . What 's she going to say 	 said 	 2 	 oh my god 	 ARGM-ADV 	 [4, 7] 	 redundant 	 yes 	 What did I say to Mark? 	 None
668 	 And it was a very nice letter , because it sounded like she went through very similar things that I did . 	 did 	 21 	 that 	 R-ARG1 	 [18, 19] 	 redundant 	 yes 	 What did I do that was similar to things she went through? 	 None
676 	 and all I had to do was get on it and follow it . 	 get 	 8 	 I 	 ARG1 	 [2, 3] 	 redundant 	 yes 	 Who had to get on it and follow it? 	 None
686 	 I mean of course I did n't say anything to her . 	 mean 	 2 	 of course 	 ARGM-ADV 	 [2, 4] 	 redundant 	 yes 	 How does the speaker mean something? 	 None
687 	 That we were abusing , 	 abusing 	 4 	 That 	 R-ARG1 	 [0, 1] 	 redundant 	 yes 	 What were we abusing? 	 None
698 	 and all I had to do was get on it and follow it . 	 follow 	 12 	 I 	 ARG0 	 [2, 3] 	 redundant 	 yes 	 Who had to get on it and follow it? 	 None
714 	 So , I assume it 's hard for you not to eat as much as he does . 	 does 	 17 	 he 	 ARG1 	 [15, 16] 	 redundant 	 yes 	 Who does not eat as much? 	 None
721 	 and I think they would then feel guilty for not inviting me . 	 feel 	 7 	 for not inviting me 	 ARGM-CAU 	 [8, 12] 	 redundant 	 yes 	 For what would they feel guilty? 	 None
725 	 %uh I mean if they denied my citizenship and I became a citizen here I probably would n't be a horror either , 	 mean 	 3 	 if they denied my citizenship and I became a citizen here I probably would n't be a horror either 	 ARG1 	 [3, 22] 	 redundant 	 yes 	 What do you mean? 	 None
726 	 But you know , I mean that mhm . should n't be a big deal . %um 	 know 	 3 	 I 	 ARG0 	 [4, 5] 	 redundant 	 yes 	 Who knows? 	 None
739 	 So if you want we can take a ride and go see stuff at night 	 see 	 12 	 at night 	 ARGM-TMP 	 [13, 15] 	 redundant 	 yes 	 When can we go see stuff? 	 None
764 	 I 've actually been doing a lot of it . 	 've 	 2 	 I 	 R-ARG0 	 [0, 1] 	 redundant 	 yes 	 Who has actually been doing a lot of it? 	 None
767 	 And I was in the inactive reserves the entire time I was in college too . 	 was 	 3 	 too 	 ARGM-DIS 	 [14, 15] 	 redundant 	 yes 	 When was someone in the inactive reserves the entire time they were in college? 	 None
772 	 So if you want we can take a ride and go see stuff at night 	 go 	 11 	 we 	 ARG0 	 [4, 5] 	 redundant 	 yes 	 Who can go see stuff at night? 	 None
775 	 It 's probably easier for me to come by public transport in Amsterdam than it is for me to come by car to be honest . 	 come 	 20 	 to be honest 	 ARGM-PRP 	 [22, 25] 	 redundant 	 yes 	 How does the speaker say it's probably easier for them to come? 	 None
777 	 like mom said she said even if it was going to be in September , she said the little things I can tolerate you know if that happens you know . 	 know 	 25 	 if that happens 	 ARGM-ADV 	 [25, 28] 	 redundant 	 yes 	 What does someone know? 	 None
778 	 but I 'm planning on making a trip down to visit her . 	 making 	 6 	 I 	 ARG0 	 [1, 2] 	 redundant 	 yes 	 Who is planning on making a trip down to visit her? 	 None
781 	 And she was just really concerned about you know everything . mhm you know . What the possibilities of like 	 know 	 9 	 everything 	 ARG1 	 [9, 10] 	 redundant 	 yes 	 What was she concerned someone might know? 	 None
789 	 and %mm . that cost me a lot of time . 	 cost 	 5 	 that 	 ARG1 	 [3, 4] 	 redundant 	 yes 	 What cost me a lot of time? 	 None
792 	 Some amount that has to be deducted a certain amount 	 deducted 	 7 	 Some amount 	 ARG1 	 [0, 2] 	 redundant 	 yes 	 What has to be deducted? 	 None
800 	 and she just had bad luck I guess is all you can say . 	 is 	 9 	 I guess 	 ARG1 	 [6, 8] 	 redundant 	 yes 	 What is all you can say? 	 None
811 	 Are you going to try and become a dual citizen ? 	 try 	 5 	 going 	 ARGM-MOD 	 [2, 3] 	 redundant 	 yes 	 What is someone going to try and become? 	 None
825 	 did they do like %uh the same thing they had to do last time ? 	 do 	 3 	 they 	 ARG0 	 [8, 9] 	 redundant 	 yes 	 Who had to do the same thing like that last time? 	 None
