7 	 Among other things , they would also freeze Taliban assets abroad and restrict foreign travel by Taliban officials . 	 restrict 	 also 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
317 	 As we said , earlier this week , Christine Todd Whitman stepped down and now a whole lot of analysis is taking place as to why she stepped down , the job she 's done when she was in office and the job that has yet to be complete . 	 taking 	 as to why she stepped down , the job she 's done when she was in office and the job that has yet to be complete 	 ARGM-ADV 	 label_error 	 correct 	 C-ARG1 	 None
332 	 When I visited your country in 1994 , I recall saying to President Yeltsin that he and I spent most of our lives believing such a visit would never happen , and that I hoped he was as delighted as I was to be proved wrong . 	 happen 	 never 	 ARGM-NEG 	 label_error 	 correct 	 ARGM-TMP 	 None
338 	 We were here moments ago where the man in the green in the forefront of the screen there , the former POW David Williams was speaking to the crowd rather emotionally and now you see he is taking down the black and white POW flag . 	 were 	 where the man in the green in the forefront of the screen there , the former POW David Williams was speaking to the crowd rather emotionally 	 ARGM-ADV 	 label_error 	 correct 	 C-ARG2 	 None
343 	 They goes in there and nuzzles with the puppies , or lays her eggs and sits there with the mother . 	 sits 	 there 	 ARGM-LOC 	 label_error 	 correct 	 ARG2 	 None
368 	 We do have to try to reduce the violee and take a turn back for a period of calmness so that we can move back to a peace process , but even if the violence subsides , Israelis and Palestinians will still have to deal with an open wound -- a scar so long and so deep from these last two weeks , it may be years before there is a real effort at talking peace again . 	 be 	 before there is a real effort at talking peace again 	 ARGM-TMP 	 label_error 	 correct 	 ARG1 	 None
379 	 As we 've been reporting , only within the past hour or so , there 's been a shooting incident in central Israel , not far from the West Bank . 	 been 	 As we 've been reporting 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
391 	 Milosevic headed Yugoslavia 's state - run gas company and was President of a major Belgrade bank climbing the political ladder as a Communist technocrat . 	 climbing 	 as a Communist technocrat 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-PRD 	 None
402 	 Most significant , demonstrators who had been throwing stones this week , today turned to gasoline bombs . 	 turned 	 Most significant 	 ARGM-DIS 	 label_error 	 correct 	 ARGM-ADV 	 None
403 	 These ties have gone way back , nearly 40 years , and they were strengthened considerably by this visit . 	 strengthened 	 considerably 	 ARGM-EXT 	 label_error 	 correct 	 ARGM-MNR 	 None
422 	 This connection to national and musical identities results partly from the fact that many Senegalese artists want to stay in Senegal to live and work says PBS singer Tidia Awadi . 	 stay 	 in Senegal 	 ARG3 	 label_error 	 correct 	 ARGM-LOC 	 None
430 	 I think what the show does is also show that you might be those things , but also might be a pretty great dad , too . 	 show 	 also 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
445 	 Now let 's go back to Wolf Blitzer in Kuwait City for more special coverage of the war in Iraq . 	 coverage 	 more 	 ARGM-ADJ 	 label_error 	 correct 	 ARGM-EXT 	 None
447 	 The two main suspects in the bombing of the `` USS Cole '' could be charged as soon as Tuesday , according to Associated Press . 	 charged 	 according to Associated Press 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
452 	 Thank you very much , Tony . 	 Thank 	 very much 	 ARGM-EXT 	 label_error 	 correct 	 ARGM-ADV 	 None
454 	 The crisis began three years ago when California imposed a price freeze on its private utility firms to protect consumers while the state deregulates its energy sector , but the lifting of market controls led to wild price fluctuations on the wholesale market . 	 imposed 	 to protect consumers while the state deregulates its energy sector 	 ARGM-PNC 	 label_error 	 correct 	 ARGM-PRP 	 None
455 	 Just one last thing quoting him and I wonder if you could respond to this , Christopher , he said at the very beginning of his wonderful speech to the Nobel Prize Committee , he said , `` I do not wish to waste this talk on literature by saying too much about politics and history , What I want to do is to use this opportunity to speak as one writer in the voice of an individual . '' 	 beginning 	 very 	 ARGM-EXT 	 label_error 	 correct 	 ARGM-ADJ 	 None
458 	 The FBI message went to three Pentagon agencies , and as a result , the visit of one American warship to Yemen was canceled . 	 canceled 	 as a result 	 ARGM-DIS 	 label_error 	 correct 	 ARGM-CAU 	 None
460 	 Ari Fleischer expected to come into the West Wing briefing room to brief reporters on a wide variety of subjects . 	 come 	 to brief reporters on a wide variety of subjects 	 ARGM-PNC 	 label_error 	 correct 	 ARGM-PRP 	 None
465 	 Well , actually President Mubarak was very categorical today in condemning calls for war , which he said were very serious and people should understand the implications of just what it meant . 	 was 	 in condemning calls for war , which he said were very serious and people should understand the implications of just what it meant 	 ARGM-ADV 	 label_error 	 correct 	 C-ARG2 	 None
482 	 The blast , which occurred just after noon local time in Yemen , ripped a 20 x 40 foot gash in the USS Cole , a state - of - the - art destroyer that had stopped in Aden to refuel before joining the carrier George Washington in the Persian Gulf . 	 stopped 	 that 	 R-ARG1 	 label_error 	 correct 	 ARG1 	 None
507 	 The Academy says it 's for their theories and methods widely used in analyzing work and living habits . 	 used 	 widely 	 ARGM-EXT 	 label_error 	 correct 	 ARGM-MNR 	 None
526 	 Tonight on Israeli television , Prime Minister Barak said we can not go on as if nothing happened , and if the demonstrations do n't stop , Barak 's spokesman said Israel will continue to use live ammunition . 	 go 	 as if nothing happened 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-MNR 	 None
529 	 Instead of meeting us on common ground , instead of working with the White House or congressional Democrats , the Republican leadership closed its doors to compromise -- literally closed the doors to compromise . 	 meeting 	 on common ground 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-LOC 	 None
539 	 In fact his visit has somewhat been ignored and in fact the main news story here in India has been sort of a local controversy over the roll - back of fuel prices rather than Mr. Putin 's visit , but he did do what he had to do and he certainly strengthened ties in a strategic sense between Russia and India . 	 ignored 	 somewhat 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-ADV 	 None
560 	 Will it put Al Gore over the top in the race to match and exceed the votes of George W. Bush ? 	 votes 	 of George W. Bush 	 ARG0 	 label_error 	 correct 	 ARG1 	 None
561 	 On the other hand we have Egypt which was the first Arab country to make peace with the Jewish state , which is of course also a top recipient of US aid . 	 is 	 of course 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
562 	 The pilot is being kept in Taiwan for questioning . 	 kept 	 for questioning 	 ARGM-PNC 	 label_error 	 correct 	 ARGM-PRP 	 None
572 	 But as we look ahead , we know that our long - term partnership is of profound importance to both of us . 	 know 	 as we look ahead 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-TMP 	 None
574 	 I hope this kind of thing can happen in America , instead of it just being these isolated festivals like Bonnaroo , it really can happen in 100 cities every summer , like the festivals do in Europe . 	 happen 	 like the festivals do in Europe 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-ADV 	 None
594 	 We also have an update on that disturbing development outside Baghdad , about 40 miles or so outside Baghdad in Fallujah where there was a shootout between U.S. troops and Iraqis who had been demonstrating there . 	 was 	 where 	 R-ARGM-LOC 	 label_error 	 correct 	 ARGM-LOC 	 None
600 	 Russia has very little influence with Pakistan , but of course Russia supplies India with 70 % of its military hardware and that was of course the second pillar here of Mr. Putin 's visit , which was to finalize some very substantial arms deals . 	 was 	 of course 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
609 	 Investigators say the Singapore Airlines jet should have been on runway Five - Left , but instead , it was on Five - Right , a parallel runway . 	 was 	 instead 	 ARGM-DIS 	 label_error 	 correct 	 ARGM-ADV 	 None
611 	 Greg , just a logistic question , How long is it going take you to get the opinion run to you from the building behind you ? 	 run 	 from the building behind you 	 ARGM-DIR 	 label_error 	 correct 	 ARG3 	 None
615 	 The Scotts ran it past their vet and the vet assured them , as long as the hen left her crate to do business , she was no harm to the pup . 	 left 	 to do business 	 ARGM-PNC 	 label_error 	 correct 	 ARGM-PRP 	 None
626 	 One only has to recall the bombing of the US Marine barracks in Lebanon in 1983 , also a month before presidential election , also at a time when Israel was involving suitable ferment at that point in Lebanon now with the Palestinians , where the United States was also attempting actively to provide some stabilizing influence and unfortunately and tragically got caught up in the maelstrom and that seems to be the salient fact of this attack . 	 influence 	 stabilizing 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-PRD 	 None
628 	 Egypt and Jordan do not want to see any sort of conventional war against Israel . 	 war 	 conventional 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-ADJ 	 None
635 	 He gets a second chest X-ray , discovers that he does n't have lung cancer , recognizes that by virtue of the kinds of things that he is writing , his openness to Western literary ideas , that he is in political trouble again , and so he sets out on an extraordinary odyssey of some 15,000 kilometers , mostly on foot , which he takes through southwestern China . 	 takes 	 through southwestern China 	 ARGM-DIR 	 label_error 	 correct 	 ARG2 	 None
637 	 That craft that approached the Cole is a rubber boat , not a big craft , but they would have had to pack it fully with explosives to do the amount of damage that they did to the Cole and that certainly would have taken time to get that put together . 	 pack 	 fully 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-EXT 	 None
648 	 This is Mr. Clinton 's third visit to Northern Ireland , and the Irish Republic to do what he can to generate a lasting peace . 	 do 	 to generate a lasting peace 	 ARGM-PNC 	 label_error 	 correct 	 ARGM-PRP 	 None
655 	 The report shows the nation 's tight job market is loosening up a bit , but still unemployment is near a 30 - year low . 	 is 	 still 	 ARGM-TMP 	 label_error 	 correct 	 ARGM-DIS 	 None
660 	 We have seen some more power techniques perhaps from his Foreign Minister Amre Moussa over the last few weeks , but Amre Moussa today at the Foreign Minister 's meeting was calling simply for the return of East Jerusalem to the Palestinians , in stark contrast to Syrian Foreign Minister Faruq al - Shara who was pulling for a complete cut in diplomatic relations between Israel and the two Arab states that happen . 	 contrast 	 stark 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-ADJ 	 None
671 	 He told lawmakers it would not trigger a U.S. retreat from the Persian Gulf , even though troops remain at risk to terrorism . 	 retreat 	 from the Persian Gulf 	 ARGM-DIR 	 label_error 	 correct 	 ARG1 	 None
672 	 As Dave Gavlak reports , the US Cole was towed out of the Aden Harbor to a waiting Norwegian transport ship , that will actually carry the damaged destroyer home . 	 towed 	 to a waiting Norwegian transport ship , that will actually carry the damaged destroyer home 	 ARGM-DIR 	 label_error 	 correct 	 ARG2 	 None
675 	 And some people are surprised and I might even add pleased in this city that your SEC has been quick to react when Phil Purcell of Morgan Stanley made a statement that your SEC did n't think and that you did n't think expressed appropriate contrition when Bear Stearns stepped out of line in the view of the SEC . 	 stepped 	 out of line 	 ARGM-DIR 	 label_error 	 correct 	 ARG2 	 None
690 	 She was not good at all at communicating the administration 's message to the public and certainly to the environmental groups and she was even worse at bringing the EPA bureaucracy , the EPA environmental policy makers ' message to this administration because she saw herself undercut over and over . 	 undercut 	 over and over 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-TMP 	 None
719 	 I urge Mr. Barak to lift the siege of Palestinians , to speak to the Palestinians as its neighbors because they are his neighbors . 	 speak 	 as its neighbors 	 ARGM-PRD 	 label_error 	 correct 	 ARGM-MNR 	 None
722 	 Security was tight as the ship was towed out . 	 towed 	 out 	 ARGM-DIR 	 label_error 	 correct 	 ARG2 	 None
733 	 They say the plane took off , clicking the construction equipment , slamming into the ground and then breaking up . 	 slamming 	 into the ground 	 ARGM-DIR 	 label_error 	 correct 	 ARG2 	 None
735 	 The book is filled with marvelous descriptions of the gorges through which he walks , the mountains that he climbs , indeed the book is called Soul Mountain , the mountain on which he hopes in some way or another to get in touch with his soul , his individual soul , as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities , the social realism that the cadres would have him write in . 	 walks 	 through which 	 R-ARGM-LOC 	 label_error 	 correct 	 R-ARGM-DIR 	 None
758 	 California 's wholesale electricity prices , which had been capped at 250 dollars per megawatt hour in a regulated market , have peaked under deregulation at 1400 dollars per megawatt hour . 	 capped 	 at 250 dollars per megawatt hour 	 ARG2 	 label_error 	 correct 	 ARGM-LOC 	 None
760 	 Still hurts me to read this . 	 hurts 	 Still 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-TMP 	 None
769 	 He says Iraq has triumphed over the evil of the West . 	 triumphed 	 over the evil of the West 	 ARG1 	 label_error 	 correct 	 ARG2 	 None
772 	 In Ramallah , thousands of Palestinians rushed the Israeli checkpoint , then faced down Israeli guns . 	 rushed 	 thousands of Palestinians 	 ARG1 	 label_error 	 correct 	 ARG0 	 None
779 	 The knowledge that our lights are the first to light it up , our footprints were the first , our eyes were first to see it . 	 see 	 first 	 ARGM-TMP 	 label_error 	 correct 	 ARG0 	 None
782 	 We 're deadly serious about some of the actions we 've taken , and when we see people who do n't appear to be taking it too seriously , we 're going to get to them right away . 	 taking 	 who 	 ARG0 	 label_error 	 correct 	 R-ARG0 	 None
799 	 Palestinian sources say he had tried to flee into Syria , but was turned away at the border . 	 flee 	 into Syria 	 ARGM-DIR 	 label_error 	 correct 	 ARG1 	 None
809 	 Instead of meeting us on common ground , instead of working with the White House or congressional Democrats , the Republican leadership closed its doors to compromise -- literally closed the doors to compromise . 	 closed 	 literally 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-MNR 	 None
810 	 Energy suppliers oppose a cap , saying instead they need incentives to build more generating stations . 	 saying 	 instead 	 ARGM-DIS 	 label_error 	 correct 	 ARGM-ADV 	 None
824 	 It 's also , you know , tale that includes family love , you know , and a lot of good things . 	 love 	 family 	 ARG1 	 label_error 	 correct 	 ARG0 	 None
840 	 Thanks very much , NBC 's Jim Maceda tonight for the trial of the Lockerbie 103 Pan Am crash . 	 Thanks 	 very much 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-EXT 	 None
852 	 Just one last thing quoting him and I wonder if you could respond to this , Christopher , he said at the very beginning of his wonderful speech to the Nobel Prize Committee , he said , `` I do not wish to waste this talk on literature by saying too much about politics and history , What I want to do is to use this opportunity to speak as one writer in the voice of an individual . '' 	 waste 	 by saying too much about politics and history 	 ARGM-MNR 	 label_error 	 correct 	 ARG2 	 None
858 	 It hurts to think of how many wonderful people in Iraq at the academic community , lawyers , human rights activists , civilians , intellectuals , people -- would now be alive , who have been horribly murdered and tortured and reduced to misery since by a half application of violence through sanctions and overflights . 	 application 	 through sanctions and overflights 	 ARG2 	 label_error 	 correct 	 ARGM-MNR 	 None
862 	 That craft that approached the Cole is a rubber boat , not a big craft , but they would have had to pack it fully with explosives to do the amount of damage that they did to the Cole and that certainly would have taken time to get that put together . 	 pack 	 to do the amount of damage that they did to the Cole 	 ARGM-PNC 	 label_error 	 correct 	 ARGM-PRP 	 None
868 	 He was referring to his struggle against the US , which strongly supports the economic embargo meant to force him to disarm . 	 disarm 	 him 	 ARG0 	 label_error 	 correct 	 ARG1 	 None
875 	 And the U.S. government , can withhold the names of people detained as part of the 9 / 11 investigation . 	 detained 	 as part of the 9 / 11 investigation 	 ARGM-ADV 	 label_error 	 correct 	 ARG2 	 None
876 	 Today was D - Day in the murder trial which in the end brought some relief . 	 was 	 Today 	 ARGM-TMP 	 label_error 	 correct 	 ARG1 	 None
904 	 It is no secret that the significant differences between our two countries earlier this year on how best to handle Iraq , but we are now able to look forward together firmly in agreement on the route we have decided in the United Nations , although , the tragic loss of British lives today reminds us all of the difficulties to be faced . 	 look 	 together 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-ADV 	 None
911 	 He had survived , if you will , a death sentence , and now in that new freedom of the life in front of him , he takes to the road in the tradition of old Chinese poets and records what he sees , what he hears , the stories that he is told . 	 takes 	 to the road 	 ARGM-DIR 	 label_error 	 correct 	 ARG2 	 None
918 	 Palestinian leaders said their people no longer want a cease - fire , they want their own country . 	 want 	 no longer 	 ARGM-TMP 	 label_error 	 correct 	 ARGM-NEG 	 None
923 	 It hurts to think of how many wonderful people in Iraq at the academic community , lawyers , human rights activists , civilians , intellectuals , people -- would now be alive , who have been horribly murdered and tortured and reduced to misery since by a half application of violence through sanctions and overflights . 	 reduced 	 who 	 R-ARG1 	 label_error 	 correct 	 ARG1 	 None
925 	 This is another thing that the Indians were glad to hear him say , and he also said that both India and Russia suffer from the same sort of terrorism , as he put it , referring of course to the separatist militancies in Chechnya and Russia and in Jammu and Kashmir . 	 said 	 also 	 ARGM-DIS 	 label_error 	 correct 	 ARGM-ADV 	 None
931 	 President Clinton is going prime time tonight to bid farewell to Americans in a televised address . 	 going 	 to bid farewell to Americans in a televised address 	 ARGM-PNC 	 label_error 	 correct 	 ARGM-PRP 	 None
943 	 Diplomats and analysts have commented that a joint investigation into the attack may in fact strengthen ties between the world super power and the poor , but strategic Arab state . 	 strengthen 	 in fact 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
954 	 They handcuffed the man and they took him into custody . 	 took 	 into custody 	 ARGM-DIR 	 label_error 	 correct 	 ARG2 	 None
960 	 He is not as easy to make fun of yet Yubitritch says , unlike Milosevic , but that does n't mean he will escape the scrutiny and sharp wits of Index Theater . 	 is 	 unlike Milosevic 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-MNR 	 None
965 	 In Serbia it is 57th round of elections from September 2000 and Slobodan Milosevic appears on national tv and says , `` I want to greet you as your new President , my name is Vojislav Kostunica '' . 	 greet 	 as your new President 	 ARG2 	 label_error 	 correct 	 ARGM-PRD 	 None
972 	 President Clinton is going prime time tonight to bid farewell to Americans in a televised address . 	 address 	 televised 	 ARGM-PRD 	 label_error 	 correct 	 ARGM-MNR 	 None
973 	 We have a vibrant and exciting relationship from which we both derive mass benefit . 	 derive 	 from which 	 R-ARG2 	 label_error 	 correct 	 ARG2 	 None
975 	 So indeed Russia does have quite a bit of influence here . 	 have 	 indeed 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
994 	 I think there are a number of other measures that indicate how well somebody 's doing running a company , and I think corporation boards need to spend more time on that dimension . 	 doing 	 running a company 	 ARG1 	 label_error 	 correct 	 ARGM-ADV 	 None
997 	 The book is filled with marvelous descriptions of the gorges through which he walks , the mountains that he climbs , indeed the book is called Soul Mountain , the mountain on which he hopes in some way or another to get in touch with his soul , his individual soul , as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities , the social realism that the cadres would have him write in . 	 called 	 indeed 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
1020 	 Tonight , some of those families made it clear their battle is not over to get to the truth and however difficult , punish the real authors of this crime . 	 is 	 to get to the truth and however difficult , punish the real authors of this crime 	 ARGM-PRP 	 label_error 	 correct 	 C-ARG1 	 None
1028 	 The book is filled with marvelous descriptions of the gorges through which he walks , the mountains that he climbs , indeed the book is called Soul Mountain , the mountain on which he hopes in some way or another to get in touch with his soul , his individual soul , as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities , the social realism that the cadres would have him write in . 	 walks 	 the gorges 	 ARG1 	 label_error 	 correct 	 ARGM-DIR 	 None
1035 	 Greg , go ahead , if you come to a passage we should hear . 	 go 	 Greg 	 ARG0 	 label_error 	 correct 	 ARGM-DIS 	 None
1036 	 I mean this man took the trip on which the novel was based for political reasons , did he not ? 	 based 	 on which 	 R-ARG2 	 label_error 	 correct 	 ARG2 	 None
1040 	 They confirm the pilot made a wrong turn , simply down the wrong runway . 	 turn 	 simply down the wrong runway 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIR 	 None
1041 	 After the speech demonstrators gathered in a public show of support for their President . 	 show 	 public 	 ARGM-MNR 	 label_error 	 correct 	 ARG2 	 None
1049 	 I think what the show does is also show that you might be those things , but also might be a pretty great dad , too . 	 be 	 also 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
1056 	 To our top story of the evening -- Martha Stewart is stepping down as head of her media empire . 	 stepping 	 as head of her media empire 	 ARGM-PRD 	 label_error 	 correct 	 ARG1 	 None
1061 	 Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at least 106 people dead , almost all of them Palestinian . 	 left 	 dead 	 ARG2 	 label_error 	 correct 	 ARGM-PRD 	 None
1067 	 He first came here as a tourist 30 years ago . 	 came 	 as a tourist 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-MNR 	 None
1075 	 The measure does not however prevent them from charging above that level . 	 charging 	 above that level 	 ARGM-EXT 	 label_error 	 correct 	 ARG1 	 None
1090 	 But in Washington , Pentagon officials went further saying that they had every reason to suspect that the blast was caused by terrorists . 	 went 	 saying that they had every reason to suspect that the blast was caused by terrorists 	 ARGM-ADV 	 label_error 	 correct 	 ARG1 	 None
1095 	 UN Secretary General Kofi Annan who is leading mediation efforts in the Middle East urged Palestinians and Israelis , Thursday to show restraint . 	 urged 	 to show restraint 	 ARGM-PNC 	 label_error 	 correct 	 ARG2 	 None
1100 	 In a joint statement Wednesday , India and Russia called for further measures against Afghanistan 's dominant Taliban faction . 	 measures 	 against Afghanistan 's dominant Taliban faction 	 ARGM-GOL 	 label_error 	 correct 	 ARG2 	 None
1104 	 The Bush team , responding quickly saying there would not be such support and that in that scenario Gore could only be seen as a sore loser . 	 responding 	 saying there would not be such support and that in that scenario Gore could only be seen as a sore loser 	 ARGM-PRD 	 label_error 	 correct 	 ARG2 	 None
1117 	 The bottom line , this court rules unanimously the right of the people to have the votes counted is paramount , thus , the amended certifications to include the hand counts must be accepted by November 26 . 	 accepted 	 thus 	 ARGM-DIS 	 label_error 	 correct 	 ARGM-ADV 	 None
1128 	 Other POWs from Iraq after they were captured and released , that dramatic release that Sunday morning when they were picked up by a squadron of Marines who had wandered in a town in Baghdad and were told where they were being kept . 	 release 	 dramatic 	 ARGM-ADJ 	 label_error 	 correct 	 ARGM-MNR 	 None
1136 	 While U.S. forces still have n't found any weapons of mass destruction , the new CIA Pentagon report says officials are now confident the mysterious trucks filled with high - tech equipment found in Iraq are indeed mobile biological weapons production facilities , just as Secretary of State Powell predicted and presented the United Nations before the war . 	 are 	 indeed 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
1172 	 No telling how long the Osbourne phenomenon may last but the family 's loyal following will always be screaming for more . 	 last 	 how long 	 ARGM-TMP 	 label_error 	 correct 	 ARG2 	 None
1180 	 Reporter Lee , flying in from California , unsure if his wife was alive , today , identifying his remains , and tonight survivor John Diaz begins the long trip home to California . 	 trip 	 long 	 ARGM-ADJ 	 label_error 	 correct 	 ARGM-TMP 	 None
