18 	 Milo , get out of there 	 get 	 out of there 	 ARG2 	 label_error 	 correct 	 ARGM-DIR 	 None
624 	 Dad and I went to buy the wine the other day . 	 went 	 to buy the wine 	 ARGM-PNC 	 label_error 	 correct 	 ARGM-PRP 	 None
635 	 You do burn a lot of calories an hour though , lifting weights . 	 burn 	 though 	 ARGM-DIS 	 label_error 	 correct 	 ARGM-ADV 	 None
647 	 you can just call her Missus and speak English to her . 	 call 	 just 	 ARGM-DIS 	 label_error 	 correct 	 ARGM-ADV 	 None
661 	 And they 're doing great . 	 doing 	 great 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-MNR 	 None
681 	 but I think he 's at a point now where he 's reserved us of that %um , you know that she may end up going %um to %uh t- 	 reserved 	 us 	 ARG1 	 label_error 	 correct 	 ARG2 	 None
696 	 I said mom it is when you believe in Allah , when you have faith and know when you truly give your heart to Allah , only Allah can make the way clear for you . 	 give 	 truly 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-ADV 	 None
717 	 yeah , Good . an older home that you know Julie is of course carving up and making beautiful . %um 	 carving 	 of course 	 ARGM-DIS 	 label_error 	 correct 	 ARGM-ADV 	 None
729 	 So they had to take it down and drive her home . 	 drive 	 home 	 ARGM-DIR 	 label_error 	 correct 	 ARG1 	 None
730 	 and it 'll look good on me , you know like fit me , Sure . which is necessary at the moment because I 'm plump 	 look 	 on me 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-LOC 	 None
746 	 Oregon you pay state tax 	 pay 	 state tax 	 ARG1 	 label_error 	 correct 	 ARG3 	 None
753 	 Actually in the first week I was here -- mhm . -- I gained a lot 	 gained 	 Actually 	 ARGM-DIS 	 label_error 	 correct 	 ARGM-ADV 	 None
786 	 but yeah if you just separate normally and you have n't served at least eight years , then you owe it . 	 separate 	 you 	 ARG0 	 label_error 	 correct 	 ARG1 	 None
805 	 You know , I went from Chicago to U C S G to here . 	 went 	 to U C S G 	 ARG4 	 label_error 	 correct 	 ARGM-DIR 	 None
820 	 Is it paid today ? 	 paid 	 it 	 ARG3 	 label_error 	 correct 	 ARG1 	 None
841 	 I mean things have been happening that has just scared the heck out of me . 	 scared 	 that 	 R-ARG0 	 label_error 	 correct 	 ARG0 	 None
