33 	 He was right about that , but that means that he inaugurated at that point like a dozen - years war where the United States could be criticized for doing too little and acting too slowly but all we 're arguing about lately is to do with those that should have been finished in `91 when it could have been finished . 	 finished 	 when it could have been finished 	 ARGM-TMP 	 boundary_error 	 correct 	 None 	 [1903, 53, 53, 61, 29]
738 	 We do have to try to reduce the violee and take a turn back for a period of calmness so that we can move back to a peace process , but even if the violence subsides , Israelis and Palestinians will still have to deal with an open wound -- a scar so long and so deep from these last two weeks , it may be years before there is a real effort at talking peace again . 	 move 	 to a peace process 	 ARG2 	 boundary_error 	 correct 	 None 	 [1865, 24, 24, 29, 4]
756 	 One only has to recall the bombing of the US Marine barracks in Lebanon in 1983 , also a month before presidential election , also at a time when Israel was involving suitable ferment at that point in Lebanon now with the Palestinians , where the United States was also attempting actively to provide some stabilizing influence and unfortunately and tragically got caught up in the maelstrom and that seems to be the salient fact of this attack . 	 involving 	 at that point in Lebanon now with the Palestinians 	 ARGM-TMP 	 boundary_error 	 correct 	 None 	 [1972, 32, 34, 37, 29]
789 	 We are usually not sufficiently clear , we meaning the Secretariat , in explaining that sovereignty and final analysis belongs to the people and sovereignty should be seen in a democratic context . 	 are 	 not sufficiently clear 	 ARG2 	 boundary_error 	 correct 	 None 	 [2665, 2, 4, 32, 4]
801 	 When you talk about Arafat and the people around him , you have to understand how young this population really is -- how volatile , how close to exploding it really is . 	 is 	 how close to exploding 	 ARG2 	 boundary_error 	 correct 	 None 	 [2115, 32, 22, 29, 4]
855 	 Mr. President , it is , I believe , a sign of genuine friendship that we are able to have disagreements , but remain firm partners . 	 is 	 a sign of genuine friendship that we are able to have disagreements , but remain firm partners 	 ARG2 	 boundary_error 	 correct 	 None 	 [3119, 5, 9, 14, 4]
884 	 When American saxophonist David Murray recorded his acclaimed afrocentric jazz album , Fo Juke Review in Dakar , he recruited Amidu Berry and DJ Awadi from PBS to show what an edge West African music can really have . 	 have 	 an edge 	 ARG1 	 boundary_error 	 correct 	 None 	 [2560, 38, 29, 32, 3]
916 	 He was right about that , but that means that he inaugurated at that point like a dozen - years war where the United States could be criticized for doing too little and acting too slowly but all we 're arguing about lately is to do with those that should have been finished in `91 when it could have been finished . 	 finished 	 in `91 	 ARGM-TMP 	 boundary_error 	 correct 	 None 	 [1903, 53, 53, 61, 29]
964 	 We 're all getting , this news in from the speech that the Homeland Security Secretary Tom Ridge is expected to be delivering at the international press club around 1:00 Eastern at the top of the hour . 	 delivering 	 around 1:00 Eastern 	 ARGM-TMP 	 boundary_error 	 correct 	 None 	 [2231, 23, 28, 37, 29]
1044 	 Maybe before the weapon and then later he said , Oh , I should have got the nuclear weapon before I invaded . 	 said 	 later 	 ARGM-TMP 	 boundary_error 	 correct 	 None 	 [2991, 9, 0, 7, 29]
1068 	 We have the pictures coming in from Central Florida , News 13 . 	 coming 	 from Central Florida 	 ARG3 	 boundary_error 	 correct 	 None 	 [1101, 5, 5, 9, 5]
1081 	 Tonight it appears at least 82 are dead from what may have been a wrong turn . 	 are 	 dead 	 ARG2 	 boundary_error 	 correct 	 None 	 [435, 7, 7, 16, 4]
1083 	 On the other hand we have Egypt which was the first Arab country to make peace with the Jewish state , which is of course also a top recipient of US aid . 	 was 	 the first Arab country to make peace with the Jewish state 	 ARG2 	 boundary_error 	 correct 	 None 	 [2483, 9, 9, 32, 4]
1099 	 You know , this decision by the Gore campaign , a refusal to concede even if they do not prevail in the manual recounts under way certainly carries some political risk , but the Gore team tonight defends the decision , saying that fellow Democrats and the public would not only accept but demand what they call a fair and accurate recount in all the relevant counties . 	 accept 	 what 	 ARG1 	 boundary_error 	 correct 	 None 	 [1966, 52, 54, 67, 3]
1110 	 When the mom comes in , the puppies know exactly where to go for milk -- sort of a little confusion . 	 go 	 where 	 ARG4 	 boundary_error 	 correct 	 None 	 [251, 13, 9, 11, 6]
1170 	 Gloria Hillard takes a look at what the show `` Pelswick '' means to some children . 	 show 	 Pelswick 	 ARG1 	 boundary_error 	 correct 	 None 	 [137, 9, 9, 12, 3]
1200 	 Reporter Lee , flying in from California , unsure if his wife was alive , today , identifying his remains , and tonight survivor John Diaz begins the long trip home to California . 	 flying 	 from California 	 ARGM-DIR 	 boundary_error 	 correct 	 None 	 [2362, 4, 4, 7, 13]
1232 	 The next morning , August 1998 , the FBI sent out a classified message , under Director Louis Freeh 's name , warning of a plot to attack a U.S. Navy ship in Yemen . 	 sent 	 a classified message 	 ARG1 	 boundary_error 	 correct 	 None 	 [2143, 10, 11, 34, 3]
1268 	 We 're all getting , this news in from the speech that the Homeland Security Secretary Tom Ridge is expected to be delivering at the international press club around 1:00 Eastern at the top of the hour . 	 getting 	 this news in from the speech that the Homeland Security Secretary Tom Ridge is expected to be delivering at the international press club around 1:00 Eastern at the top of the hour 	 ARG1 	 boundary_error 	 correct 	 None 	 [2226, 4, 5, 7, 3]
1323 	 His brutal efforts to create a Serb - dominated Yugoslavia earned him the nickname `` Butcher of the Balkans . '' 	 dominated 	 a Serb - dominated Yugoslavia 	 ARG1 	 boundary_error 	 correct 	 None 	 [156, 9, 9, 10, 3]
