file,lemma,roleset_id,roleset_name,role_n,role_f,role_descr
abound.xml,abound,abound.01,be plentiful,1,LOC,thing which is plentiful
abound.xml,abound,abound.01,be plentiful,2,PPT,thing which has arg1 in great supply
about.xml,about,about.01,"located 'around', in the general vicinity",1,PAG,entity who is around
abrade.xml,abrade,abrade.01,wear off or rub off,0,PAG,"agent, causing wearing"
abrade.xml,abrade,abrade.01,wear off or rub off,1,PPT,thing wearing
abrade.xml,abrade,abrade.01,wear off or rub off,2,MNR,instrument
abridge.xml,abridge,abridge.01,to cut short,0,PAG,causer
abridge.xml,abridge,abridge.01,to cut short,1,PPT,thing abridged
abrogate.xml,abrogate,abrogate.01,block a biological process or function,0,PAG,intentional agent of abrogation (e.g. scientist)
abrogate.xml,abrogate,abrogate.01,block a biological process or function,1,PPT,"thing abrogated, blocked"
abrogate.xml,abrogate,abrogate.01,block a biological process or function,2,MNR,instrument
absent.xml,absent,absent.01,(cause to) not be present,0,PAG,"causer, agent"
absent.xml,absent,absent.01,(cause to) not be present,1,PPT,absent entity
absent.xml,absent,absent.01,(cause to) not be present,2,GOL,absent from what
absolute.xml,absolute,absolute.01,"all encompassing, without exception",1,PPT,absolute thing
absolve.xml,absolve,absolve.01,remove guilt,0,CAU,"absolver, agent"
absolve.xml,absolve,absolve.01,remove guilt,1,DIR,guilty party
absolve.xml,absolve,absolve.01,remove guilt,2,PPT,guilt
absorb.xml,absorb,absorb.01,soak up,0,PAG,"absorber, cause or agent"
absorb.xml,absorb,absorb.01,soak up,1,PPT,"absorbed, us. liquid"
absorb.xml,absorb,absorb.01,soak up,2,GOL,"sponge, arg 1 is absorbed into this, when separate from cause"
absorb.xml,absorb,absorb.01,soak up,3,DIR,"Source of liquid, absorbed from what?"
abstain.xml,abstain,abstain.01,to refrain,0,PAG,entity abstaining
abstain.xml,abstain,abstain.01,to refrain,1,PPT,abstaining from
abstract.xml,abstract,abstract.01,to draw or take away,0,PAG,entity abstracting
abstract.xml,abstract,abstract.01,to draw or take away,1,PPT,thing being abstracted
abstract.xml,abstract,abstract.01,to draw or take away,2,DIR,abstracted from
absurd.xml,absurd,absurd.01,"foolish, ridiculous",1,PAG,thing that is absurd (may require concatenation- see exs)
abundant.xml,abundant,abundant.01,plentiful,1,PPT,plentiful commodity
abundant.xml,abundant,abundant.01,plentiful,2,LOC,location with plenty of arg1
abuse.xml,abuse,abuse.01,"mistreat a person or animal, often repeatedly, with violence or with cruelty",0,PAG,"abuser, agent"
abuse.xml,abuse,abuse.01,"mistreat a person or animal, often repeatedly, with violence or with cruelty",1,PPT,entity abused
abuse.xml,abuse,abuse.02,use (something) to bad effect or for a bad purpose; misuse,0,PAG,user
abuse.xml,abuse,abuse.02,use (something) to bad effect or for a bad purpose; misuse,1,PPT,thing misused
abuse.xml,abuse,abuse.03,use offending language,0,PAG,"abuser, agent"
abuse.xml,abuse,abuse.03,use offending language,1,PPT,entity insulted
abuse.xml,abuse,abuse.03,use offending language,2,MNR,explicit mention of utterance or insult
abut.xml,abut,abut.01,be one the edge of,1,PPT,abutter
abut.xml,abut,abut.01,be one the edge of,2,PPT,abutted
abysmal.xml,abysmal,abysmal.01,"generally terrible, in the absolute lowest ranges",1,PAG,generally terrible entity
abysmal.xml,abysmal,abysmal.01,"generally terrible, in the absolute lowest ranges",2,PPT,value
abysmal.xml,abysmal,abysmal.02,be extremely unskilled at,1,PAG,unskilled entity
abysmal.xml,abysmal,abysmal.02,be extremely unskilled at,2,PPT,non-skill
accede.xml,accede,accede.01,"agree, adhere",0,PAG,"acceder, agent"
accede.xml,accede,accede.01,"agree, adhere",1,COM,entity acceded to
accelerate.xml,accelerate,accelerate.01,"make be faster, the act of speeding up",0,PAG,"agent, causing acceleration"
accelerate.xml,accelerate,accelerate.01,"make be faster, the act of speeding up",1,PPT,thing accelerating
accelerate.xml,accelerate,accelerate.01,"make be faster, the act of speeding up",2,EXT,EXT
accelerate.xml,accelerate,accelerate.01,"make be faster, the act of speeding up",3,DIR,start point
accelerate.xml,accelerate,accelerate.01,"make be faster, the act of speeding up",4,GOL,end point
accent.xml,accent,accent.01,to bring out certain features,0,PAG,decorator
accent.xml,accent,accent.01,to bring out certain features,1,GOL,thing decorated
accent.xml,accent,accent.01,to bring out certain features,2,PPT,decorations
accentuate.xml,accentuate,accentuate.01,mark or emphasize,0,PAG,agent
accentuate.xml,accentuate,accentuate.01,mark or emphasize,1,PPT,thing accentuated
accentuate.xml,accentuate,accentuate.01,mark or emphasize,2,MNR,instrument
accept.xml,accept,accept.01,take willingly,0,PAG,acceptor
accept.xml,accept,accept.01,take willingly,1,PPT,thing accepted
accept.xml,accept,accept.01,take willingly,2,DIR,accepted-from
accept.xml,accept,accept.01,take willingly,3,PRD,attribute
accept.xml,acceptable,acceptable.02,worthy of accepting,0,PAG,acceptor
accept.xml,acceptable,acceptable.02,worthy of accepting,1,PPT,thing accepted
accept.xml,acceptable,acceptable.02,worthy of accepting,2,DIR,accepted from
accept.xml,acceptable,acceptable.02,worthy of accepting,3,PRD,attribute
access.xml,access,access.01,"access, gain entry",0,PAG,accessor
access.xml,access,access.01,"access, gain entry",1,PPT,thing accessed
access.xml,accessible,accessible.02,"able to be reached, attained",0,PAG,accessor
access.xml,accessible,accessible.02,"able to be reached, attained",1,PPT,thing accessed
accession.xml,accession,accession.01,"addition, joining, offering admittance",0,PAG,agent
accession.xml,accession,accession.01,"addition, joining, offering admittance",1,PPT,supplement
accession.xml,accession,accession.01,"addition, joining, offering admittance",2,PPT,"original, group"
accessorize.xml,accessorize,accessorize.01,furnish with accessories,0,PAG,"agent, furnishing entity"
accessorize.xml,accessorize,accessorize.01,furnish with accessories,1,PPT,entity furnished
accessorize.xml,accessorize,accessorize.01,furnish with accessories,2,VSP,furnished with what
accident.xml,accident,accident.01,"screw-up, unplanned event that may or may not cause damage",0,PAG,"causer of accident, entity who screws up"
accident.xml,accident,accident.01,"screw-up, unplanned event that may or may not cause damage",1,VSP,type of accident
accident.xml,accident,accident.01,"screw-up, unplanned event that may or may not cause damage",2,VSP,accidental action
acclaim.xml,acclaim,acclaim.01,approve of loudly,0,PAG,acclaimer
acclaim.xml,acclaim,acclaim.01,approve of loudly,1,PPT,acclaimed
acclaim.xml,acclaim,acclaim.01,approve of loudly,2,CAU,"cause, acclaimed for what?"
acclimate.xml,acclimate,acclimate.01,(cause to) become used to,0,PAG,"agent, cause of adjustment"
acclimate.xml,acclimate,acclimate.01,(cause to) become used to,1,PPT,entity becoming accustomed
acclimate.xml,acclimate,acclimate.01,(cause to) become used to,2,GOL,to what; the new climate
acclimatize.xml,acclimatize,acclimatize.01,(cause to) become used to,0,PAG,"agent, cause of adjustment"
acclimatize.xml,acclimatize,acclimatize.01,(cause to) become used to,1,PPT,entity becoming accustomed
acclimatize.xml,acclimatize,acclimatize.01,(cause to) become used to,2,GOL,to what; the new climate
accommodate.xml,accommodate,accommodate.01,"allow, be helpful",0,PAG,accommodater
accommodate.xml,accommodate,accommodate.01,"allow, be helpful",1,PPT,thing accommodated
accompany.xml,accompany,accompany.01,go along with,0,PAG,subject accompanier
accompany.xml,accompany,accompany.01,go along with,1,PPT,object accompanied
accompany.xml,accompany,accompany.01,go along with,3,DIR,start point
accompany.xml,accompany,accompany.01,go along with,4,GOL,end point
accomplish.xml,accomplish,accomplish.01,"do, pull off",0,PAG,doer
accomplish.xml,accomplish,accomplish.01,"do, pull off",1,PPT,deed
accord.xml,accord,accord.01,to give,0,PAG,giver
accord.xml,accord,accord.01,to give,1,PPT,gift
accord.xml,accord,accord.01,to give,2,GOL,given-to
accord.xml,accord,accord.02,follow a procedure; be in line with expectations or other facts,0,PAG,follower of procedure
accord.xml,accord,accord.02,follow a procedure; be in line with expectations or other facts,1,PPT,action done
accord.xml,accord,accord.02,follow a procedure; be in line with expectations or other facts,2,COM,"regulations, procedure, or expectations accorded with"
accord.xml,accord,accord.03,create or agree to a pact,0,PAG,"first party in agreement, both parties when mentioned together"
accord.xml,accord,accord.03,create or agree to a pact,1,PPT,"subject of promise, subject/topic pact involves"
accord.xml,accord,accord.03,create or agree to a pact,2,COM,second party in agreement
account.xml,account,account.01,"deal with, explain, give/tell report or explanation",0,PAG,accounter
account.xml,account,account.01,"deal with, explain, give/tell report or explanation",1,PPT,"thing accounted for, dealt with, explained"
account.xml,account,account.01,"deal with, explain, give/tell report or explanation",2,MNR,"instrumental, accounted for with or by"
account.xml,accountable,accountable.02,"answerable, responsible for",0,PAG,"perpetrator, accountable person"
account.xml,accountable,accountable.02,"answerable, responsible for",1,PPT,"role or crime, accountable for what?"
account.xml,accountable,accountable.02,"answerable, responsible for",2,PAG,judge
account.xml,accounting,accounting.03,managing finance,0,PAG,accountant (entity acting as)
account.xml,accounting,accounting.03,managing finance,1,PPT,"money, accounts, etc. accounted for"
account.xml,accounting,accounting.03,managing finance,2,PPT,"account owner, if separate from arg0"
account.xml,take_into_account,take_into_account.04,consider,0,PAG,considerer
account.xml,take_into_account,take_into_account.04,consider,1,PPT,thing considered
accredit.xml,accredit,accredit.01,give credentials,0,PAG,entity furnishing credentials
accredit.xml,accredit,accredit.01,give credentials,1,PPT,entity credited
accredit.xml,accredit,accredit.01,give credentials,2,PRD,attribute
accrete.xml,accrete,accrete.01,"accumulate, gain",0,PAG,accreting entity
accrete.xml,accrete,accrete.01,"accumulate, gain",1,PPT,stuff gained
accrue.xml,accrue,accrue.01,"accumulate, gather",0,PAG,"agent, gatherer"
accrue.xml,accrue,accrue.01,"accumulate, gather",1,PPT,"thing gathered, accrued"
accumulate.xml,accumulate,accumulate.01,amass,0,PAG,entity accumulating something
accumulate.xml,accumulate,accumulate.01,amass,1,PPT,thing/stuff accumulated
accumulate.xml,accumulate,accumulate.01,amass,3,VSP,price
accurate.xml,accurate,accurate.01,precise,0,PAG,agent
accurate.xml,accurate,accurate.01,precise,1,PPT,thing that is exact
accurse.xml,accurse,accurse.01,to imprecate misery or evil upon,0,PAG,speaker
accurse.xml,accurse,accurse.01,to imprecate misery or evil upon,1,PPT,misery or evil
accurse.xml,accurse,accurse.01,to imprecate misery or evil upon,2,PPT,person or thing accursed
accuse.xml,accuse,accuse.01,"charge with wrongdoing, blame",0,PAG,accuser
accuse.xml,accuse,accuse.01,"charge with wrongdoing, blame",1,PPT,accused
accuse.xml,accuse,accuse.01,"charge with wrongdoing, blame",2,PRD,crime
accustom.xml,accustom,accustom.01,(cause to) be used to,0,PAG,cause or agent
accustom.xml,accustom,accustom.01,(cause to) be used to,1,PPT,thing getting used to something
accustom.xml,accustom,accustom.01,(cause to) be used to,2,GOL,thing getting used to
ace.xml,ace,ace.01,do perfectly,0,PAG,acer
ace.xml,ace,ace.01,do perfectly,1,PPT,test
acetify.xml,acetify,acetify.01,(cause to) become acid,0,PAG,cause of transformation
acetify.xml,acetify,acetify.01,(cause to) become acid,1,PPT,entity made into silica
acetify.xml,acetify,acetify.01,(cause to) become acid,2,MNR,instrument or manner if separate from arg 0
acetylate.xml,acetylate,acetylate.01,introduce an acetyl group into a compound,0,PAG,agent of acetylation (e.g. scientist)
acetylate.xml,acetylate,acetylate.01,introduce an acetyl group into a compound,1,PPT,thing acetylated (material/source)
acetylate.xml,acetylate,acetylate.01,introduce an acetyl group into a compound,2,MNR,instrument
acetylate.xml,acetylate,acetylate.01,introduce an acetyl group into a compound,3,PRD,product of acetylation
ache.xml,ache,ache.01,to suffer a dull pain,0,PPT,body part aching
ache.xml,ache,ache.02,"desire, long",0,PAG,wanter
ache.xml,ache,ache.02,"desire, long",1,PPT,wanted
achieve.xml,achieve,achieve.01,accomplish,0,PAG,achiever
achieve.xml,achieve,achieve.01,accomplish,1,PPT,"thing achieved, gotten, accomplished"
acidify.xml,acidify,acidify.01,make acidic,0,PAG,"causer of acidity, agent"
acidify.xml,acidify,acidify.01,make acidic,1,PPT,thing now acidic
acknowledge.xml,acknowledge,acknowledge.01,admit,0,PAG,"admitter, claimer, speaker"
acknowledge.xml,acknowledge,acknowledge.01,admit,1,PPT,"proposition, claim, utterance"
acknowledge.xml,acknowledge,acknowledge.01,admit,2,GOL,hearer
acknowledge.xml,acknowledge,acknowledge.01,admit,3,PRD,"secondary predication, attribute of arg 1 acknowledged"
acquaint.xml,acquaint,acquaint.01,know informally,0,PAG,rare agent
acquaint.xml,acquaint,acquaint.01,know informally,1,GOL,knower
acquaint.xml,acquaint,acquaint.01,know informally,2,PPT,acquaintance
acquiesce.xml,acquiesce,acquiesce.01,comply passively,0,PAG,"acquiescer, complier"
acquiesce.xml,acquiesce,acquiesce.01,comply passively,1,PPT,"thing complied to, in, or with"
acquire.xml,acquire,acquire.01,"get, acquire",0,PAG,"agent, entity acquiring something"
acquire.xml,acquire,acquire.01,"get, acquire",1,PPT,thing acquired
acquire.xml,acquire,acquire.01,"get, acquire",2,DIR,seller
acquire.xml,acquire,acquire.01,"get, acquire",3,VSP,price paid
acquire.xml,acquire,acquire.01,"get, acquire",4,GOL,benefactive
acquit.xml,acquit,acquit.01,relieve of guilt,0,CAU,remover of guilt
acquit.xml,acquit,acquit.01,relieve of guilt,1,DIR,(un)guilty party
acquit.xml,acquit,acquit.01,relieve of guilt,2,PPT,explicit mention of guilt
act.xml,act,act.01,play a role; behave,0,PAG,player
act.xml,act,act.01,play a role; behave,1,PRD,"role, behavior"
act.xml,act,act.02,"do something, perform an action",0,PAG,actor
act.xml,act,act.02,"do something, perform an action",1,PPT,"grounds for action, action"
act.xml,act,act.05,thing done,0,PAG,doer
act.xml,act,act.05,thing done,1,PPT,thing done
act.xml,act,act.05,thing done,2,VSP,type of act
act.xml,act_out,act_out.03,perform a role,0,PAG,"actor, performer"
act.xml,act_out,act_out.03,perform a role,1,PPT,"role, scenario enacted"
act.xml,act_up,act_up.04,cause trouble,0,PAG,trouble-maker
act.xml,activity,activity.06,"participating in, live, in use",0,PAG,active entity
act.xml,activity,activity.06,"participating in, live, in use",1,PPT,activity engaged in
activate.xml,activate,activate.01,make active,0,PAG,activator
activate.xml,activate,activate.01,make active,1,PPT,thing now active
activate.xml,active,active.02,"live, in use, participating in",0,PAG,active entity
activate.xml,active,active.02,"live, in use, participating in",1,PPT,activity engaged in
actualize.xml,actualize,actualize.01,make real or more real,0,PAG,agent
actualize.xml,actualize,actualize.01,make real or more real,1,PPT,"thing actualized, theme"
actualize.xml,actual,actual.02,really real,1,PAG,actual thing
actualize.xml,actual,actual.02,really real,2,PPT,what arg1 is an actual instantiation of
actuate.xml,actuate,actuate.01,put into action or motion,0,PAG,agent causing of actuation
actuate.xml,actuate,actuate.01,put into action or motion,1,PPT,entity set into action or motion
acute.xml,acute,acute.01,severe,1,PPT,acute illness
acute.xml,acute,acute.01,severe,2,LOC,patient
acyanotic.xml,acyanotic,acyanotic.01,not characterized by turning blue,1,PAG,thing not characterized by blueness
adamant.xml,adamant,adamant.01,unyieldingly insistent,0,PAG,entity who insists
adamant.xml,adamant,adamant.01,unyieldingly insistent,1,PPT,insisted upon
adapt.xml,adapt,adapt.01,"make (more) suitable, cause to fit",0,PAG,"agent, adaptor"
adapt.xml,adapt,adapt.01,"make (more) suitable, cause to fit",1,PPT,thing adapted
adapt.xml,adapt,adapt.01,"make (more) suitable, cause to fit",2,GOL,adapted to
adapt.xml,adapt,adapt.01,"make (more) suitable, cause to fit",3,DIR,adapted from
adat.xml,adat,adat.01,advance diet as tolerated,0,PAG,doctor; advancer of diet
add.xml,add,add.01,say,0,PAG,speaker
add.xml,add,add.01,say,1,PPT,utterance
add.xml,add,add.02,"mathematics, mixing, add something to something else, increase",0,PAG,adder
add.xml,add,add.02,"mathematics, mixing, add something to something else, increase",1,PPT,thing being added
add.xml,add,add.02,"mathematics, mixing, add something to something else, increase",2,PPT,thing being added to
add.xml,add,add.02,"mathematics, mixing, add something to something else, increase",3,PRD,resulting sum
add.xml,add,add.03,achieve or gain,1,PPT,"Logical subject, patient, thing rising/gaining/being added to"
add.xml,add,add.03,achieve or gain,2,EXT,"EXT, amount risen"
add.xml,add,add.03,achieve or gain,4,PRD,end point
add.xml,add,add.03,achieve or gain,m,LOC,medium
add.xml,add_up,add_up.04,result in,1,PPT,things added
add.xml,add_up,add_up.04,result in,2,PRD,result
add.xml,add_up,add_up.04,result in,0,PAG,agent adding items up
add.xml,add_on,add_on.05,add to existing mass,0,PAG,Agent adding on
add.xml,add_on,add_on.05,add to existing mass,1,PPT,Thing added
add.xml,add_on,add_on.05,add to existing mass,2,PPT,Added to what?
addend.xml,addend,addend.01,add an addendum to,0,PAG,Causer of addition
addend.xml,addend,addend.01,add an addendum to,1,PPT,thing changed
addict.xml,addict,addict.01,"cause a dependency, as to a drug",0,PAG,outside causer of addiction
addict.xml,addict,addict.01,"cause a dependency, as to a drug",1,PPT,addicted entity
addict.xml,addict,addict.01,"cause a dependency, as to a drug",2,VSP,drug etc.
addict.xml,addictive,addictive.02,causing addiction,0,PAG,addictive substance
addict.xml,addictive,addictive.02,causing addiction,1,PPT,addictive to whom? addicted entity
addle.xml,addle,addle.01,(cause to) be confused,0,PAG,agentive cause of confusion
addle.xml,addle,addle.01,(cause to) be confused,1,PPT,entity experiencing confusion
addle.xml,addle,addle.01,(cause to) be confused,2,MNR,confused about or confused with what?
address.xml,address,address.01,"put an address on, or speak to",0,PAG,addresser
address.xml,address,address.01,"put an address on, or speak to",1,GOL,"item being addressed (letter, speech, etc)"
address.xml,address,address.01,"put an address on, or speak to",2,PPT,hearer/recipient
address.xml,address,address.01,"put an address on, or speak to",3,PRD,address as
address.xml,address,address.02,deal with,0,PAG,agent
address.xml,address,address.02,deal with,1,PPT,dealing with what
address.xml,address,address.02,deal with,2,PRD,"answer, dealing how"
address.xml,address,address.03,"answer, pay attention to",0,PAG,talker
address.xml,address,address.03,"answer, pay attention to",1,PPT,subject
address.xml,address,address.03,"answer, pay attention to",2,GOL,hearer
adenoidectomy.xml,adenoidectomy,adenoidectomy.01,removal of the adenoids,0,PAG,surgeon
adenoidectomy.xml,adenoidectomy,adenoidectomy.01,removal of the adenoids,1,PPT,removed
adenoidectomy.xml,adenoidectomy,adenoidectomy.01,removal of the adenoids,2,SRC,removed from
adept.xml,adept,adept.01,highly skilled,1,PAG,skilled entity
adept.xml,adept,adept.01,highly skilled,2,PPT,skill
adequate.xml,adequate,adequate.01,"enough, sufficing",1,PPT,entity that is enough
adequate.xml,adequate,adequate.01,"enough, sufficing",2,PRD,enough for/to what
adhere.xml,adhere,adhere.01,stick (to),0,PAG,agent/causer of adhesion
adhere.xml,adhere,adhere.01,stick (to),1,PPT,theme of adhesion
adhere.xml,adhere,adhere.01,stick (to),2,PPT,thing stuck to
adhere.xml,adhere,adhere.02,"follow (policy, etc)",0,PAG,follower
adhere.xml,adhere,adhere.02,"follow (policy, etc)",1,PPT,"policy, etc."
adipose.xml,adipose,adipose.01,relating to fat tissue,1,PPT,adipose entity
adjacent.xml,adjacent,adjacent.01,"next to, evokes horizontal relationship",1,SE1,first neighboring enity
adjacent.xml,adjacent,adjacent.01,"next to, evokes horizontal relationship",2,SE2,"second neighboring entity, neighbors what/whom"
adjacent.xml,adjacent,adjacent.01,"next to, evokes horizontal relationship",3,AXS,axis
adjoin.xml,adjoin,adjoin.01,be immediately next to,1,PPT,(first) thing(s)
adjoin.xml,adjoin,adjoin.01,be immediately next to,2,PPT,"second thing, if separate"
adjourn.xml,adjourn,adjourn.01,(bring to a) close,0,PAG,"closer, adjourner"
adjourn.xml,adjourn,adjourn.01,(bring to a) close,1,PPT,thing closed
adjourn.xml,adjourn,adjourn.02,go from one location to another,0,PAG,entity in motion
adjourn.xml,adjourn,adjourn.02,go from one location to another,1,GOL,destination
adjudicate.xml,adjudicate,adjudicate.01,to settle conflicts,0,PAG,adjudicator
adjudicate.xml,adjudicate,adjudicate.01,to settle conflicts,1,PPT,decision or conflict
adjunct.xml,adjunct,adjunct.01,"being joined in a subordinate manner, acting as a subordinate associate",1,PPT,"subordinate entity, adjunct"
adjunct.xml,adjunct,adjunct.01,"being joined in a subordinate manner, acting as a subordinate associate",2,PPT,superordinate entity
adjunct.xml,adjunct,adjunct.01,"being joined in a subordinate manner, acting as a subordinate associate",3,VSP,"domain, role of arg1"
adjust.xml,adjust,adjust.01,change (slightly),0,PAG,causer of transformation
adjust.xml,adjust,adjust.01,change (slightly),1,PPT,thing changing
adjust.xml,adjust,adjust.01,change (slightly),2,GOL,adjusted to; goal state; outside situation that arg1 is wanted to match
adjust.xml,adjust,adjust.01,change (slightly),3,DIR,start state
adjust.xml,adjust,adjust.01,change (slightly),4,PRP,"purpose, reason for adjustment"
administer.xml,administer,administer.01,"to manage, distribute, or apply",0,PAG,"administrator, agent"
administer.xml,administer,administer.01,"to manage, distribute, or apply",1,PPT,entity administered
administer.xml,administer,administer.01,"to manage, distribute, or apply",2,GOL,administered to/upon
administrate.xml,administrate,administrate.01,manage,0,PAG,"agent, manager"
administrate.xml,administrate,administrate.01,manage,1,PPT,"theme, process/thing being managed"
admire.xml,admire,admire.01,admire,0,PPT,admirer
admire.xml,admire,admire.01,admire,1,PAG,admired
admire.xml,admirable,admirable.02,worthy of admiring,0,PAG,admirer
