dataset,domain,llm_label,human_label,llm_human_agree,status,num_source_candidates,human_idx,source_idxs,sentence,prd_word,prd_idx,label,span_mean,source_spans_inclusive,human_selected_spans,span_matched,grammar_status,optional,human_file,source_file
tc_gold_llmj_correct,tc,1,1,1,matched,1,14,[1379],"If not , call Anya 's parents if you do n't have a new phone number for me .",call,4,ARG1,entity summoned,"[(4, 6)]","[(4, 6)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,15,[606],So if you do n't have any ideas we 'll just put something together for you .,put,12,ARG2,attribute of arg1,"[(13, 13)]","[(13, 13)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,16,[3987],Well I mean he does work his ass off,mean,3,ARG0,agent,"[(1, 1)]","[(1, 1)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,17,[1082],"You know , I mean , we 're d- , you know ,",mean,5,ARG0,agent,"[(3, 3)]","[(3, 3)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,18,[2446],"You wo n't lose it , you know ,",know,8,ARG0,knower,"[(6, 6)]","[(6, 6)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,19,[2931],"and I 've said that yeah I will give a urine sample or a blood sample if they call me back for those , but they 're going to have to pay my trip back to the states . because there 's no bases in Holland and I 'm not going to pay out of my own expenses to go to Germany or something for them .",give,9,ARG0,giver,"[(6, 6)]","[(6, 6)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,20,[332],and she 's climbing up the stairs .,climbing,4,ARG0,climber,"[(1, 1)]","[(1, 1)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,21,[2529],"and we can like do a quick dinner or something yeah and go see whatever you want to see ,",go,13,ARG0,subject,"[(1, 1)]","[(1, 1)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,22,[1972],as soon as you get into Holland and get yourself settled you can call me,call,14,ARG1,entity summoned,"[(14, 14)]","[(14, 14)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,23,[2330],but the Americans as soon as you ask for another citizenship that act of asking for it takes away your American citizenship .,takes,18,ARG0,,"[(11, 16)]","[(11, 16)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,24,[2236],do you know if Jack called Spencer yet ?,called,6,ARG0,caller,"[(4, 4)]","[(4, 4)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,25,[3740],"oh , I 'm sorry we 're going to miss her .",miss,10,ARG1,"thing longed for, thing lacking","[(10, 10)]","[(10, 10)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,26,[1173],"oh , I did n't realize that .",realize,6,ARG0,new knower,"[(2, 2)]","[(2, 2)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,27,[1305],oh gosh . I bet you 're getting lonely .,getting,8,ARG2,attribute of arg1 (not a VP node),"[(8, 8)]","[(8, 8)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,28,[3962],oh they want their share .,want,3,ARG0,Wanter,"[(1, 1)]","[(1, 1)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,29,[483],so you might as well spend the time .,spend,6,ARG1,unit of time,"[(6, 7)]","[(6, 7)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,30,[2559],"yeah , I think that there was some concern about her when I talked to you in September or October .",talked,14,ARG0,talker,"[(12, 12)]","[(12, 12)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,1,[2267],Electrical resources in the West Coast state are stretched to their limit with a looming threat of rolling blackouts .,stretched,9,ARG0,"agent, entity making something be longer","[(12, 18)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,2,2,"[1977, 1979]","Gao Xingjian arrived in Stockholm this week and when he leaves the Chinese born writer will have something extra in his suitcase , the Nobel Prize for Literature .",born,14,ARG0,mother,"[(9, 9), (12, 12)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,3,[1327],"He is not as easy to make fun of yet Yubitritch says , unlike Milosevic , but that does n't mean he will escape the scrutiny and sharp wits of Index Theater .",does,19,ARG1,,"[(19, 31)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,4,[1319],"He is not as easy to make fun of yet Yubitritch says , unlike Milosevic , but that does n't mean he will escape the scrutiny and sharp wits of Index Theater .",make,7,ARG0,creator,"[(0, 0)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,5,[5035],"I 'm sure that it was difficult for her personally , but I think the commuter marriage perhaps would have been less stressful if everyday she did n't see herself being undermined and overruled .",did,27,ARG1,,"[(27, 33)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,6,[2098],"I think a number of the reforms that have come via the Sarbanes - Oxley Act and a number of things that we have done at the SEC are basically making everybody take a new look at how they 're performing their duty as a director , how they 're performing their duties on audit committees and compensation committees and in Wall Street .",think,2,ARG1,Thought,"[(28, 62)]","[(2, 62)]",False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,7,[2352],"I want everybody who tried to vote who legally voted to have their vote count , including service people .",voted,10,ARG0,voter,"[(2, 6)]","[(2, 2), (7, 7)]",False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,8,[2689],"If you can stay and make it happen , the place where you was born , where you grew up then try to make it there .",make,24,ARG2,,"[(25, 25)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,9,[5240],"In fact he had to burn up an entire suitcase full of hundreds of poems and plays and stories at the start of the Cultural Revolution in fear of going to prison , and then in 1983 after being diagnosed with lung cancer , which had killed his father three years earlier and being convinced that he himself was going to die , he gets a kind of reprieve .",diagnosed,40,ARG2,illness,"[(55, 61)]","[(40, 42), (41, 42)]",False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,10,[717],"Russia has very little influence with Pakistan , but of course Russia supplies India with 70 % of its military hardware and that was of course the second pillar here of Mr. Putin 's visit , which was to finalize some very substantial arms deals .",finalize,40,ARG0,"agent, entity finalizing something","[(31, 33)]","[(31, 32), (31, 34)]",False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,11,[4307],Thank you James .,Thank,1,ARG2,for what?,"[(2, 2)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,12,[3175],"The Bush team , responding quickly saying there would not be such support and that in that scenario Gore could only be seen as a sore loser .",responding,5,ARG1,in response to,"[(0, 2)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,13,[1132],The Indian lawmakers were sort of clambering over each other to shake his hand as he left the parliament building .,clambering,7,ARG1,,"[(7, 9)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,14,[37],The Israeli Army said it was checking the reports .,reports,9,ARG0,Reporter,"[(4, 4)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,15,[2574],The question should be what the Hosni Mubarak are they still doing there eight years after the peace process began .,doing,12,ARG1,thing done,"[(5, 7)]","[(4, 4)]",False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,16,[2616],The warning came as General Anthony Zinni was finalizing an agreement for refueling ships in the Yemeni port of Aden .,refueling,13,ARG0,"provider of fuel, agent","[(4, 6)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,17,[3840],These arms agreements that we were just speaking about have taken quite some time to finalize .,speaking,8,ARG2,hearer,"[(0, 2)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,18,[6009],"They tried to shoo the hen away but she kept coming back , even putting up baby gates to try to keep the chicken out .",try,20,ARG0,Agent/Entity Trying,"[(8, 8)]","[(0, 0)]",False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,19,[6013],"They tried to shoo the hen away but she kept coming back , even putting up baby gates to try to keep the chicken out .",keep,22,ARG0,causer of separation,"[(8, 8)]","[(0, 0)]",False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,20,[3212],Violence ripped through almost every major Palestinian town today .,ripped,2,ARG1,entity moving,"[(2, 7)]","[(0, 0)]",False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,21,[3687],"We 'll talk with a terror expert about that , and Iraqi deserters on the northern front , Ben Wedeman has their story why they 're no longer fighting for Saddam Hussein and Don Shepperd is going to answer some of your questions as he looks at the battle hot spots .",fighting,29,ARG1,"second fighter, if separate","[(29, 31)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,22,[4063],We know their view is the hand counts should now be included .,included,12,ARG1,"theme, thing being included in some group","[(2, 7)]","[(5, 7)]",False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,0,1,matched,1,23,[1912],We will find out who is responsible and hold them accountable .,hold,9,ARG1,thing held,"[(10, 10)]","[(10, 10)]",True,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,24,[193],"Well , the work that we have so far in English translation suggests that , and indeed this novel , which is a celebration as well of the self of the individual , goes so far as to even divide up to the self .",celebration,24,ARG1,,"[(24, 31)]","[(26, 31)]",False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,0,1,matched,1,25,[194],"Well , the work that we have so far in English translation suggests that , and indeed this novel , which is a celebration as well of the self of the individual , goes so far as to even divide up to the self .",divide,40,ARG1,separated entity,"[(17, 18)]","[(17, 18), (17, 31), (42, 43)]",True,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,26,[2937],"While both the Pentagon and the Justice Department today dispatched teams of experts to Yemen to investigate the explosion , Secretary of State Madeleine Albright urged caution saying it was too early to jump to any conclusions .",urged,26,ARG1,impelled agent,"[(26, 26)]",[],False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,27,[5459],"While the Gore menu remains a family secret , the Bush clan all to happy to share some of his favorite fare -- jalapeno pecan cornbread stuffing and coconut cake .",share,17,ARG0,sharer,"[(9, 10)]","[(9, 11)]",False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
bn_smallmodel_llmj_incorrect,bn,0,1,0,matched,1,28,[2744],"Witnesses said Israeli soldiers fired live ammunition and rubber - coated metal bullets , wounding at least seven people .",coated,11,ARG1,covered,"[(11, 19)]","[(11, 12)]",False,没有语法错误,False,annotations_smallmodel_botherror_random_wlj_final.json,incorrect_data_bn_smallmodel.json
